12:50:04.193 [MainThread] INFO    thonny: Thonny version: 4.1.4
12:50:04.194 [MainThread] INFO    thonny: cwd: /home/josuelopez/rtc1
12:50:04.194 [MainThread] INFO    thonny: original argv: ['/usr/bin/python3', '-s', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/rp2040/rp2040_back.py', "{'clean': False, 'port': '/dev/ttyACM0', 'dtr': None, 'rts': None, 'submit_mode': 'raw_paste', 'interrupt_on_connect': True, 'write_block_size': 64, 'write_block_delay': None, 'proxy_class': 'RaspberryPiPicoBackendProxy', 'sync_time': True, 'validate_time': False, 'local_rtc': True}"]
12:50:04.194 [MainThread] INFO    thonny: sys.executable: /usr/bin/python3
12:50:04.194 [MainThread] INFO    thonny: sys.argv: ['/usr/lib/python3/dist-packages/thonny/plugins/rp2040/rp2040_back.py', "{'clean': False, 'port': '/dev/ttyACM0', 'dtr': None, 'rts': None, 'submit_mode': 'raw_paste', 'interrupt_on_connect': True, 'write_block_size': 64, 'write_block_delay': None, 'proxy_class': 'RaspberryPiPicoBackendProxy', 'sync_time': True, 'validate_time': False, 'local_rtc': True}"]
12:50:04.194 [MainThread] INFO    thonny: sys.path: ['/usr/lib/python3/dist-packages/thonny/plugins/rp2040', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '__editable__.luma.examples-0.0.0.finder.__path_hook__', '/usr/local/lib/python3.11/dist-packages/rpi_TM1638-0.1-py3.11.egg', '/usr/local/lib/python3.11/dist-packages/Adafruit_SSD1306-1.6.2-py3.11.egg', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages']
12:50:04.194 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=1, no_user_site=1, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0, warn_default_encoding=0, safe_path=False, int_max_str_digits=-1)
12:50:04.194 [MainThread] INFO    thonny.plugins.micropython.bare_metal_backend: Starting backend, args: {'clean': False, 'port': '/dev/ttyACM0', 'dtr': None, 'rts': None, 'submit_mode': 'raw_paste', 'interrupt_on_connect': True, 'write_block_size': 64, 'write_block_delay': None, 'proxy_class': 'RaspberryPiPicoBackendProxy', 'sync_time': True, 'validate_time': False, 'local_rtc': True}
12:50:04.195 [MainThread] INFO    thonny.plugins.micropython.bare_metal_backend: Initial submit_mode: raw_paste, write_block_size: 64, write_block_delay: 0, read_block_size: 0
12:50:04.195 [MainThread] INFO    thonny.plugins.micropython.mp_back: Initializing MicroPythonBackend of type RP2040Backend
12:50:04.196 [MainThread] INFO    thonny: TIME/MODS 0.041 before prepare (+68 modules)
12:50:04.196 [MainThread] INFO    thonny: NEW MODS ['__future__', '_bz2', '_compression', '_datetime', '_heapq', '_locale', '_lzma', '_posixsubprocess', '_queue', '_struct', '_tkinter', 'array', 'binascii', 'bz2', 'datetime', 'encodings.ascii', 'faulthandler', 'fcntl', 'gettext', 'heapq', 'locale', 'lzma', 'math', 'platform', 'queue', 'select', 'selectors', 'serial', 'serial.serialposix', 'serial.serialutil', 'shlex', 'shutil', 'signal', 'struct', 'subprocess', 'termios', 'thonny.backend', 'thonny.base_file_browser', 'thonny.codeview', 'thonny.config_ui', 'thonny.editors', 'thonny.languages', 'thonny.misc_utils', 'thonny.plugins', 'thonny.plugins.backend_config_page', 'thonny.plugins.micropython', 'thonny.plugins.micropython.bare_metal_backend', 'thonny.plugins.micropython.connection', 'thonny.plugins.micropython.mp_back', 'thonny.plugins.micropython.mp_common', 'thonny.plugins.micropython.mp_front', 'thonny.plugins.micropython.serial_connection', 'thonny.plugins.micropython.webrepl_connection', 'thonny.roughparse', 'thonny.running', 'thonny.tktextext', 'thonny.ui_utils', 'thonny.workdlg', 'tkinter', 'tkinter.commondialog', 'tkinter.constants', 'tkinter.dialog', 'tkinter.filedialog', 'tkinter.font', 'tkinter.messagebox', 'tkinter.simpledialog', 'tkinter.ttk', 'zlib']
12:50:04.196 [MainThread] INFO    thonny.plugins.micropython.mp_back: Sending interrupt
12:50:04.197 [MainThread] INFO    thonny.plugins.micropython.mp_back: Done sending interrupt
12:50:04.248 [MainThread] INFO    thonny.plugins.micropython.bare_metal_backend: Poking
12:50:04.271 [MainThread] INFO    thonny: TIME/MODS 0.076 got welcome 
12:50:04.272 [MainThread] INFO    thonny: TIME/MODS 0.000 bef preparing helpers 
12:50:04.272 [MainThread] INFO    thonny.plugins.micropython.mp_back: Preparing helpers
12:50:04.272 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:04.272 [MainThread] INFO    thonny.plugins.micropython.bare_metal_backend: Requesting raw mode at b'>>> '
12:50:04.273 [MainThread] INFO    thonny.plugins.micropython.bare_metal_backend: Discarding stdout: '\r\n'
12:50:04.284 [MainThread] INFO    thonny.plugins.micropython.bare_metal_backend: Discarding stdout: ''
12:50:04.285 [MainThread] INFO    thonny.plugins.micropython.bare_metal_backend: Entered raw prompt
12:50:04.321 [MainThread] INFO    thonny: TIME/MODS 0.049 affsubcode 
12:50:04.340 [MainThread] INFO    thonny: TIME/MODS 0.019 affforw 
12:50:04.340 [MainThread] INFO    thonny: TIME/MODS 0.000 prepared helpers 
12:50:04.341 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:04.345 [MainThread] INFO    thonny: TIME/MODS 0.005 affsubcode 
12:50:04.357 [MainThread] INFO    thonny: TIME/MODS 0.012 affforw 
12:50:04.357 [MainThread] INFO    thonny: TIME/MODS 0.000 got cwd 
12:50:04.357 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:04.362 [MainThread] INFO    thonny: TIME/MODS 0.005 affsubcode 
12:50:04.373 [MainThread] INFO    thonny: TIME/MODS 0.011 affforw 
12:50:04.374 [MainThread] INFO    thonny: TIME/MODS 0.000 prepared 
12:50:04.374 [MainThread] INFO    thonny.plugins.micropython.mp_back: Prepared
12:50:04.374 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:04.376 [MainThread] INFO    thonny: TIME/MODS 0.002 affsubcode 
12:50:04.395 [MainThread] INFO    thonny: TIME/MODS 0.019 affforw 
12:50:04.396 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:04.406 [MainThread] INFO    thonny: TIME/MODS 0.010 affsubcode 
12:50:04.427 [MainThread] INFO    thonny: TIME/MODS 0.021 affforw 
12:50:04.428 [MainThread] INFO    thonny: TIME/MODS 0.000 befsubcode 
12:50:04.443 [MainThread] INFO    thonny: TIME/MODS 0.015 affsubcode 
12:50:04.464 [MainThread] INFO    thonny: TIME/MODS 0.021 affforw 
12:50:04.464 [MainThread] INFO    thonny.backend: Loading Jedi
12:50:04.465 [MainThread] INFO    thonny: TIME/MODS 0.000 Before loading Jedi 
12:50:04.465 [MainThread] INFO    thonny.common: Using THONNY_FRONTEND_SYS_PATH ['/usr/bin', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/home/josuelopez/.local/lib/python3.11/site-packages', '/usr/local/lib/python3.11/dist-packages', '__editable__.luma.examples-0.0.0.finder.__path_hook__', '/usr/local/lib/python3.11/dist-packages/rpi_TM1638-0.1-py3.11.egg', '/usr/local/lib/python3.11/dist-packages/Adafruit_SSD1306-1.6.2-py3.11.egg', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages', '/home/josuelopez/.config/Thonny/plugins/lib/python3.11/site-packages']
12:50:04.544 [MainThread] INFO    thonny: TIME/MODS 0.080 After loading Jedi (+127 modules)
